x-axis time
0 1.4633872509002686
1 1.4792635440826416
2 1.5053153038024902
3 1.620483160018921
4 1.7351298332214355
5 1.8826649188995361
6 2.1448678970336914
7 2.215959310531616
8 2.748411178588867
9 2.7795791625976562
10 3.110705614089966
11 3.6142215728759766
12 3.8300704956054688
13 3.9151194095611572
14 6.000128269195557
15 6.912365913391113
16 8.75061297416687
17 8.960189580917358
18 10.225620985031128
19 11.785307168960571
20 16.703155994415283
21 20.45093297958374
22 21.15206003189087
23 24.05833625793457
24 77.4685869216919
25 106.12413883209229
26 122.57307124137878
