x-axis time
0 0.5733051300048828
1 0.5799975395202637
2 0.5852937698364258
3 0.5907738208770752
4 0.6062676906585693
5 0.6242523193359375
6 0.6630594730377197
7 0.6733853816986084
8 0.821408748626709
9 0.8360226154327393
10 0.8923673629760742
11 0.9117515087127686
12 1.3205385208129883
13 1.3684351444244385
14 1.4232432842254639
15 1.6244313716888428
16 1.691873550415039
17 1.8535075187683105
18 2.1362662315368652
19 3.260406732559204
20 5.343528985977173
21 5.708188533782959
22 6.6479268074035645
23 7.815287828445435
24 8.59724760055542
25 9.657688617706299
26 10.316572666168213
27 20.585383415222168
28 64.52550554275513
