x-axis time
0 0.5525655746459961
1 0.5536818504333496
2 0.5541508197784424
3 0.5678176879882812
4 0.5716502666473389
5 0.572934627532959
6 0.6083862781524658
7 0.6114487648010254
8 0.6795001029968262
9 0.6962728500366211
10 0.7186164855957031
11 0.7408270835876465
12 0.9992835521697998
13 1.019892930984497
14 1.2477405071258545
15 1.2614414691925049
16 1.6137347221374512
17 2.059365749359131
18 2.3711957931518555
19 2.9055490493774414
20 6.345712184906006
21 8.100721836090088
22 8.267228126525879
23 16.474947690963745
24 17.743335962295532
25 53.82524394989014
26 54.66138553619385
27 494.56808972358704
